Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
CAP12358.1	AM850920	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12359.2	AM850921	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19610.1	AM051151	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12360.2	AM850922	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19611.1	AM051152	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19612.1	AM051153	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12356.2	AM850918	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP12355.2	AM850917	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19615.1	AM051156	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19616.1	AM051157	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ19618.1	AM051159	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAA50325.1	L36601	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAA26793	L06249	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ABA42119.2	DQ195536.2	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
ABA42118.2	DQ195535	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
AAC43969.1	U38944.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;aminoglycoside antibiotic	antibiotic efflux
NP_251215.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;monobactam;tetracycline antibiotic;aminocoumarin antibiotic	antibiotic efflux
NP_252897.1	NC_002516	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;acridine dye	antibiotic efflux
BAE06009.1	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;carbapenem;tetracycline antibiotic;acridine dye;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
NP_253661.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
BAM10414.1	AB639410	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;tetracycline antibiotic	antibiotic efflux
AAB41958.1	U57969	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
NP_249118.1	NC_002516	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
NP_251185.1	NC_002516	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
EGP45230	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;tetracycline antibiotic	antibiotic efflux
AKA86814	KP399637	ATP-binding cassette (ABC) antibiotic efflux pump	oxazolidinone antibiotic	antibiotic efflux
YP_001693237.1	NC_010378.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;glycylcycline;tetracycline antibiotic;diaminopyrimidine antibiotic;nitrofuran antibiotic	antibiotic efflux
YP_001693238	NC_010378.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;glycylcycline;tetracycline antibiotic;diaminopyrimidine antibiotic;nitrofuran antibiotic	antibiotic efflux
CAA37477.1	X53401	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAD04032.1	AF079900	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAR96051.1	AY509111	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AIA58911.1	KJ510410	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG45720.1	AF205943	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ77817.2	AM231720	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAL85435.1	AM412777	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABQ52429.1	EF581285	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31686.1	EF650032	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31687.1	EF650033	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31688.1	EF650034	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31689.1	EF650035	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA80304.1	Z22590	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31690.1	EF650036	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31691.1	EF650037	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV31692.1	EF650038	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABW70410.1	EF653400	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABX38721.1	EU188842	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABS71123.1	EU029998	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABW95047.1	EU220744	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABW95048.1	EU220745	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAK55330.1	AF371964	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAN41427.1	AY139598	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAA83417.1	U10251	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCJ32595.1	HE963768	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69248.1	KF057027	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABY77907.1	EU375515	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAP69660.1	AM932669	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAC46344.1	U59183	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACD84988.1	EU547445	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACD84989.1	EU547446	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACD84990.1	EU547447	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACE63186.1	EU571228	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADM47435.1	HQ122933	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABW76134.1	EU086830	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABW76138.1	EU086834	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACD45467.1	EU670845	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAQ51348.1	AM991978	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAA93528.1	L38523	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABQ15112.1	EF552405	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABY79006.1	EU358785	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACX70402.1	GQ861437	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACY56711.1	FJ872530	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACN85419.1	FJ790516	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACI28281.1	FJ194494	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACO72579.1	FJ848783	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACX31140.1	GQ853679	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACX31141.1	GQ853680	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAB05874.1	U63835	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACX31142.1	GQ853681	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAB97924.1	AF043100	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADB28891.1	GU199038	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACT09125.1	GQ202693	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADG27454.1	HM015773	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADY06444.1	HQ700343	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK34116.1	GU831575	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35869.1	HM488986	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35870.1	HM488987	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35871.1	HM488988	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35872.1	HM488989	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35873.1	HM488990	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAC15074.1	AF060206	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35874.1	HM488991	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK35875.1	HM488992	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58616.1	HM113558	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58617.1	HM113559	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58618.1	HM113560	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58619.1	HM113561	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58620.1	HM113562	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58621.1	HM113563	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADI58622.1	HM113564	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADM26744.1	HM570035	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAB58555.1	U85514	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADM26745.1	HM570036	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEP16366.1	JN205800	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADK92148.1	HM640278	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADV41666.1	HQ111474	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFO09968.1	JQ396378	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAD02245.1	AF043381	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADZ54048.1	JF273470	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEB98920.1	HQ425492	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEB98921.1	HQ425493	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEB98922.1	HQ425494	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEB98923.1	HQ425495	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADT70779.1	HQ634775	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFC95894.1	JN704570	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAB59082.1	M95287.4	OXA beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
YP_001844885.1	NC_010611	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADX07745.1	HQ734811	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADX07746.1	HQ734812	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADX07747.1	HQ734813	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ADX07748.1	HQ998857	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFU91598.1	JQ809466	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEO92079.1	JF800667	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAL15076.1	AB634250	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFK28473.1	JQ838185	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCA94644.1	FR853176	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEM66528.1	JF268688	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA71699.2	Y10693	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEE61368.1	JF795487	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEV91550.1	JN861779	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEV91551.1	JN861780	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEV91552.1	JN861781	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEV91553.1	JN861782	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEV91554.1	JN861783	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCA94649.1	FR865168	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEO44980.1	JN603240	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEL17179.1	JN215211	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAD12233.1	AF064820	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEL88491.1	JN248564	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEQ73521.1	JN596991	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AEP43731.1	JN638887	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ACM67635.1	FJ617207	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFM55001.1	JQ422053	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFM55000.1	JQ422052	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAV65289.1	AY795964	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFM55002.1	JQ422054	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFG29918.1	JQ326200	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGD91915.1	JX423831	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AID67109.1	KJ657570	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFH36330.1	JQ820240	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFH36332.1	JQ820242	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFH36331.1	JQ820241	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFN65709.1	JQ837239	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAM34291.1	AF509241	OXA beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AFN20670.1	JX089628	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFO55201.1	JX025021	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFO55202.1	JX025022	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFQ90085.1	JX206446	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGC60012.1	JX438000	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGC60013.1	JX438001	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHC31001.1	KF711993	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGC70814.1	JX893517	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCJ32596.1	HE963769	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCJ32597.1	HE963770	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG35607.1	AF201826	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCJ32598.1	HE963771	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AER57903.1	JN118546	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGK07368.1	KC479324	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAN10684.1	AB781687	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGK07369.1	KC479325	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCE94500.1	HE616889	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGK07370.1	KC567681	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCE73593.2	HE614014	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG35608.1	AF201827	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG35609.2	AF201828.2	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGI65307.1	KC771279	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAF72942.1	AF231133	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAC35728.1	AJ400619	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAC41449.1	L07945	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CCW28916.1	HF947514	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAK52604.1	AF294653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69250.1	KF057029	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69251.1	KF057030	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69252.1	KF057031	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69253.1	KF057032	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69254.1	KF057033	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGU69255.1	KF057034	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAK58418.1	AF315351	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGR55864.1	KF151169	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16404.1	KF203096	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16405.1	KF203097	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16406.1	KF203098	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16407.1	KF203099	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16408.1	KF203100	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16409.1	KF203101	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16410.1	KF203102	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16411.1	KF203103	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG23871.1	AY008291	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16412.1	KF203104	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16413.1	KF203105	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16414.1	KF203106	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16415.1	KF203107	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16416.1	KF203108	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW16417.1	KF203109	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHN07454.1	KF048909	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAK15582.1	AF350424	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AET35493.1	JN086160	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83446.1	KF297577	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83447.1	KF297578	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAK49460.1	AF315786	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83448.1	KF297579	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83449.1	KF297580	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83450.1	KF297581	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83451.1	KF297582	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83452.1	KF297583	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83453.1	KF297584	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGW83454.1	KF297585	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGZ83153.1	KF421160	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGZ83154.1	KF421161	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGZ83155.1	KF421162	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG24866.1	AF300985	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AGZ83156.1	KF421163	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHA11124.1	KF460531	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHA11125.1	KF460532	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHA11126.1	KF460533	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHI63011.1	KF885217	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJO16038.1	KP050485	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AMB19637.1	KT736121.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAG33665.1	AY007784	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHF71363.1	KF900153	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAO09635.1	AB871653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30274.1	KF986255	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30275.1	KF986256	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30276.1	KF986257	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30277.1	KF986258	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30278.1	KF986259	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30279.1	KF986260	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30280.1	KF986261	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30285.1	KJ135344	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30286.1	KJ135345	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30281.1	KF986262	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30282.1	KF986263	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30272.1	KF986253	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30273.1	KF986254	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHK51384.1	KJ173478	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30284.1	KJ135343	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30287.1	KJ135346	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHL30283.1	KJ135342	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AHN53381.1	KJ427797	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIT76118.1	KM087865	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIT76095.1	KM087842	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AET05998.1	JN129451	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIG94927.1	KJ865754	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIN56719.1	KJ997966	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAD32564.1	AJ488302	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAP28835.1	AB983359	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIZ00987.1	KM401566	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIY30331.1	KM433671	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AIY30332.1	KM433672	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJA32742.1	KM588352	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJA32743.1	KM588353	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJA32744.1	KM588354	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAD32565.1	AJ488303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJT57878.1	KP144324	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ARX76025.1	KY863418.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAD58780.1	AJ519683	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAR45714.1	LC037981	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AFP97030.1	JX131372	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAP69225.1	AY237830	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAP70012.1	AY236073	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAP40270.1	AY288523	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA41211.1	X58272	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAQ76277.1	AY306130	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAC83905.2	AJ309734	OXA beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAP43641.1	AY289608	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AOQ26572.1	KX828709.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAR89917.1	AY500137	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAR03105.1	AY343493	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAR32651.1	AY445080	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAF74882.1	AJ631966	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
YP_001840873.1	NC_010605	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAG15145.1	AJ632249	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAQ08905.1	AF525303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAT01092.1	AY587956	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAR32134.1	AY423074	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAU88145.1	AY619003	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81336.1	AY750907	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81337.1	AY750908	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
YP_001846219.1	NC_010611	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF50983.1	DQ491200	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81339.1	AY750910	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
YP_001713983.1	NC_010410	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA53242.1	X75562	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81341.1	AY750912	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81342.1	AY750913	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABP87779.2	EF534256	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW22056.1	AY762325	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
